---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:48:46 (uptime: 0d, 00h 00m 09s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
decoder.pkts                                                 | Total                     | 1005
decoder.bytes                                                | Total                     | 187009
decoder.ipv4                                                 | Total                     | 833
decoder.ipv6                                                 | Total                     | 172
decoder.tcp                                                  | Total                     | 691
tcp.syn                                                      | Total                     | 17
tcp.synack                                                   | Total                     | 11
tcp.rst                                                      | Total                     | 9
decoder.udp                                                  | Total                     | 305
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 186
decoder.max_pkt_size                                         | Total                     | 1480
tcp.active_sessions                                          | Total                     | 13
flow.total                                                   | Total                     | 89
flow.active                                                  | Total                     | 89
flow.tcp                                                     | Total                     | 64
flow.udp                                                     | Total                     | 23
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
decoder.event.ipv4.opt_pad_required                          | Total                     | 1
tcp.sessions                                                 | Total                     | 13
tcp.ssn_from_pool                                            | Total                     | 13
tcp.segment_from_pool                                        | Total                     | 65
detect.alert                                                 | Total                     | 490
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
app_layer.flow.tls                                           | Total                     | 6
app_layer.flow.quic                                          | Total                     | 2
app_layer.tx.quic                                            | Total                     | 11
app_layer.flow.mdns                                          | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 60
app_layer.flow.failed_udp                                    | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 4
app_layer.tx.dns_udp                                         | Total                     | 12
app_layer.flow.sip_udp                                       | Total                     | 13
app_layer.error.sip_udp.parser                               | Total                     | 158
flow.mgr.full_hash_pass                                      | Total                     | 5
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9600
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 79
flow.mgr.flows_notimeout                                     | Total                     | 79
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 9961504
tcp.reassembly_memuse                                        | Total                     | 1918976
http.memuse                                                  | Total                     | 2037
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7151104
---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:49:26 (uptime: 0d, 00h 00m 49s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 1206
decoder.bytes                                                | Total                     | 219445
decoder.ipv4                                                 | Total                     | 993
decoder.ipv6                                                 | Total                     | 213
decoder.tcp                                                  | Total                     | 828
tcp.syn                                                      | Total                     | 20
tcp.synack                                                   | Total                     | 14
tcp.rst                                                      | Total                     | 9
decoder.udp                                                  | Total                     | 367
decoder.icmpv6                                               | Total                     | 9
decoder.avg_pkt_size                                         | Total                     | 181
decoder.max_pkt_size                                         | Total                     | 1480
tcp.active_sessions                                          | Total                     | 16
flow.total                                                   | Total                     | 98
flow.active                                                  | Total                     | 98
flow.tcp                                                     | Total                     | 67
flow.udp                                                     | Total                     | 29
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
